pred,solar,tmxd,tmnd,index,year,month,day
0,15.5,33.200001,16.1,1,2002,1,1
0,14.5,31.9,18.700001,2,2002,1,2
0,13.8,30.700001,18.700001,3,2002,1,3
0,14.9,32.299999,20.1,4,2002,1,4
0,14.6,32.700001,21.6,5,2002,1,5
0,14.1,29.5,21.200001,6,2002,1,6
0,14,32,23.1,7,2002,1,7
0,15.5,32.599998,19,8,2002,1,8
0,15.1,34.700001,21.6,9,2002,1,9
0,14.6,33.200001,22.1,10,2002,1,10
0,14.8,35.599998,22.9,11,2002,1,11
0,14.7,34.299999,24.4,12,2002,1,12
0,15,33.599998,20.1,13,2002,1,13
0,15.7,34,19.6,14,2002,1,14
0,15.4,35.200001,20.299999,15,2002,1,15
0,15.5,32.5,18.1,16,2002,1,16
0,15.1,33,20.299999,17,2002,1,17
0,15.2,30.6,17.5,18,2002,1,18
0,15.4,28.9,16.700001,19,2002,1,19
0,15.5,30.1,16.799999,20,2002,1,20
0,15.7,32.200001,18.299999,21,2002,1,21
0,15.5,32.299999,18.200001,22,2002,1,22
0,15.7,34.400002,18.200001,23,2002,1,23
0,15.5,33.400002,19.4,24,2002,1,24
0,15.3,34.700001,17.9,25,2002,1,25
0,15.2,31.9,17.4,26,2002,1,26
0,15.7,31.9,19.200001,27,2002,1,27
0,15.4,31,20.4,28,2002,1,28
0,14.3,32.400002,19.9,29,2002,1,29
0,15.3,33.900002,20.299999,30,2002,1,30
0,15,30.5,16.5,31,2002,1,31
0,15.5,30.6,17.5,32,2002,2,1
0,16,32.900002,16.200001,33,2002,2,2
0,15.8,30.299999,14.2,34,2002,2,3
9.3999996,13.2,29.6,17,35,2002,2,4
0,14.8,29.1,15.2,36,2002,2,5
0,15.2,30.1,16.6,37,2002,2,6
0,14.8,34.299999,17.700001,38,2002,2,7
0,15.1,35.799999,22.200001,39,2002,2,8
0,14.6,33.700001,23.200001,40,2002,2,9
0,15.8,33.200001,19.299999,41,2002,2,10
0,15.5,31,20.9,42,2002,2,11
0,16.6,30.5,16.799999,43,2002,2,12
0,16.299999,34.200001,22,44,2002,2,13
0,15.8,36.299999,23.799999,45,2002,2,14
0,15.9,38.400002,26.299999,46,2002,2,15
0,15.9,37.700001,23.5,47,2002,2,16
0,15.1,36.099998,24.9,48,2002,2,17
.80000001,13.9,37.900002,25.6,49,2002,2,18
.1,14.2,35.099998,25.799999,50,2002,2,19
2.7,13.4,35.900002,20.9,51,2002,2,20
.1,13.3,32.5,20.5,52,2002,2,21
0,16,34.099998,21.1,53,2002,2,22
0,15.8,30.5,21.299999,54,2002,2,23
0,16,33,18.5,55,2002,2,24
0,14.8,29.6,16.9,56,2002,2,25
0,15.2,30.299999,15.5,57,2002,2,26
0,15,32.5,16.299999,58,2002,2,27
0,15.6,33.700001,19.200001,59,2002,2,28
0,14.8,34.200001,21.5,60,2002,3,1
0,15.1,33.900002,19.5,61,2002,3,2
0,14.3,32,22.1,62,2002,3,3
0,14.9,33.400002,21,63,2002,3,4
0,15.2,34.5,23.799999,64,2002,3,5
0,15.5,35.599998,22.200001,65,2002,3,6
0,14.9,37.299999,25.1,66,2002,3,7
0,14.6,38.299999,28.299999,67,2002,3,8
0,15.7,36.599998,25.200001,68,2002,3,9
0,15.1,38.299999,24.5,69,2002,3,10
4.3000002,12.9,33.200001,25,70,2002,3,11
1.3,11.7,30.9,23,71,2002,3,12
.1,12.1,31.799999,21.799999,72,2002,3,13
2.2,13,34.400002,23.5,73,2002,3,14
2.5999999,14,34.799999,24.200001,74,2002,3,15
0,15.8,37.5,23.9,75,2002,3,16
0,15.4,38.299999,26.4,76,2002,3,17
0,15,36.700001,25.4,77,2002,3,18
0,15.6,35.5,23.200001,78,2002,3,19
.60000002,13,30.799999,22.200001,79,2002,3,20
.1,12.6,29.4,22.4,80,2002,3,21
0,14.9,31.4,21.299999,81,2002,3,22
0,15.1,32.799999,19.5,82,2002,3,23
0,15.7,32.599998,19.1,83,2002,3,24
0,16.200001,36.200001,20.299999,84,2002,3,25
0,15.3,31.6,18.799999,85,2002,3,26
0,15,32.099998,18.6,86,2002,3,27
0,15.3,32.599998,17.799999,87,2002,3,28
0,15.5,33.200001,17.799999,88,2002,3,29
0,15,31.5,18.6,89,2002,3,30
0,15.9,32.799999,18.9,90,2002,3,31
0,13,35.5,23.200001,91,2002,4,1
0,13,36,22.5,92,2002,4,2
0,13,35.599998,22.1,93,2002,4,3
0,12.7,34.5,22.799999,94,2002,4,4
2.9000001,11.7,29.700001,21.200001,95,2002,4,5
.2,12.1,29.1,20.299999,96,2002,4,6
0,13.1,34.400002,20.799999,97,2002,4,7
0,12.7,36.799999,25,98,2002,4,8
0,13.1,37.200001,25.6,99,2002,4,9
0,13,35.700001,25.6,100,2002,4,10
0,13.2,40,26.6,101,2002,4,11
0,12.8,37.900002,26.5,102,2002,4,12
0,12.8,39.5,25.4,103,2002,4,13
0,12.6,39.400002,27.299999,104,2002,4,14
.2,11.9,37.599998,25.200001,105,2002,4,15
125.8,11.8,36.400002,26.1,106,2002,4,16
0,12.8,38.299999,26,107,2002,4,17
0,13.1,35.099998,25.1,108,2002,4,18
0,13.5,35.400002,24.4,109,2002,4,19
.40000001,12.7,33.099998,24.6,110,2002,4,20
9.8999996,12.9,34.900002,24.9,111,2002,4,21
1.1,12.8,33.900002,25.1,112,2002,4,22
0,14,35.799999,25,113,2002,4,23
0,14.6,37.099998,25.1,114,2002,4,24
0,14.8,38.5,26,115,2002,4,25
0,14.9,41.200001,26.9,116,2002,4,26
0,15.2,39.099998,27.299999,117,2002,4,27
0,15.1,37.700001,26.6,118,2002,4,28
0,15.5,34.5,25.799999,119,2002,4,29
0,16.1,37.400002,25.9,120,2002,4,30
0,19.700001,36.099998,24.700001,121,2002,5,1
1.1,19.6,36.099998,25,122,2002,5,2
9,19,37.700001,25.9,123,2002,5,3
0,20.6,36.200001,25.4,124,2002,5,4
0,20.299999,34.599998,24.200001,125,2002,5,5
.2,19.9,32.599998,24.1,126,2002,5,6
.1,21.1,32.5,23.6,127,2002,5,7
.5,21.700001,35,24.5,128,2002,5,8
5.8000002,21.700001,35.599998,24.4,129,2002,5,9
0,21.9,35.599998,24.799999,130,2002,5,10
0,22,35.299999,24.4,131,2002,5,11
0,22.9,36.799999,25.299999,132,2002,5,12
.1,22.200001,34.299999,23.799999,133,2002,5,13
0,23.700001,34.799999,23.6,134,2002,5,14
0,24,35.099998,22.700001,135,2002,5,15
0,23.9,33.400002,22.799999,136,2002,5,16
0,24.4,32.599998,23.4,137,2002,5,17
0,23.299999,32.200001,24.1,138,2002,5,18
.2,23.799999,31.299999,23.4,139,2002,5,19
0,23.700001,34.700001,23.5,140,2002,5,20
0,22.700001,33.700001,23.799999,141,2002,5,21
0,22.5,34.799999,23.9,142,2002,5,22
9.6999998,23,33.700001,24,143,2002,5,23
.1,23.1,33.400002,23.799999,144,2002,5,24
3.5999999,22.700001,33.400002,24.6,145,2002,5,25
20.6,24.200001,35.200001,24.6,146,2002,5,26
.1,24.200001,35.5,25.299999,147,2002,5,27
0,23.4,35.400002,25.200001,148,2002,5,28
